NodeID,gapTwo,overlapTwo,gapThree,overlapThree
18120,1595.46,1802.71,1595.46,1815.56
18121,4.76837e-07,0.0600016,4.76837e-07,0.0600016
18126,0.0500004,0.180001,0.0500004,0.180001
18122,0.0599995,0.180001,0.0599995,0.180001
18128,0.109999,0.3,0.099999,0.24
18123,0.0300004,0.240002,0.0300004,0.240002
18125,0.0400004,169.24,0.0500009,169.15
18127,0.0100012,0.110003,1.66893e-06,0.0300026
